
/start data
{'msec': 3190.000000, 'rpm': 134.399994, 'set_rpm': 3600.000000},
{'msec': 3200.000000, 'rpm': 117.599998, 'set_rpm': 3600.000000},
{'msec': 3210.000000, 'rpm': 174.000000, 'set_rpm': 3600.000000},
{'msec': 3220.000000, 'rpm': 157.199997, 'set_rpm': 3600.000000},
{'msec': 3230.000000, 'rpm': 163.199997, 'set_rpm': 3600.000000},
{'msec': 3240.000000, 'rpm': 196.800003, 'set_rpm': 3600.000000},
{'msec': 3250.000000, 'rpm': 224.399994, 'set_rpm': 3600.000000},
{'msec': 3260.000000, 'rpm': 260.399994, 'set_rpm': 3600.000000},
{'msec': 3270.000000, 'rpm': 282.000000, 'set_rpm': 3600.000000},
{'msec': 3280.000000, 'rpm': 316.799988, 'set_rpm': 3600.000000},
{'msec': 3290.000000, 'rpm': 351.600006, 'set_rpm': 3600.000000},
{'msec': 3300.000000, 'rpm': 384.000000, 'set_rpm': 3600.000000},
{'msec': 3310.000000, 'rpm': 430.799988, 'set_rpm': 3600.000000},
{'msec': 3320.000000, 'rpm': 465.600006, 'set_rpm': 3600.000000},
{'msec': 3330.000000, 'rpm': 490.799988, 'set_rpm': 3600.000000},
{'msec': 3340.000000, 'rpm': 519.599976, 'set_rpm': 3600.000000},
{'msec': 3350.000000, 'rpm': 548.400024, 'set_rpm': 3600.000000},
{'msec': 3360.000000, 'rpm': 584.400024, 'set_rpm': 3600.000000},
{'msec': 3370.000000, 'rpm': 606.000000, 'set_rpm': 3600.000000},
{'msec': 3380.000000, 'rpm': 638.400024, 'set_rpm': 3600.000000},
{'msec': 3390.000000, 'rpm': 663.599976, 'set_rpm': 3600.000000},
{'msec': 3400.000000, 'rpm': 696.000000, 'set_rpm': 3600.000000},
{'msec': 3410.000000, 'rpm': 739.200012, 'set_rpm': 3600.000000},
{'msec': 3420.000000, 'rpm': 776.400024, 'set_rpm': 3600.000000},
{'msec': 3430.000000, 'rpm': 800.400024, 'set_rpm': 3600.000000},
{'msec': 3440.000000, 'rpm': 820.799988, 'set_rpm': 3600.000000},
{'msec': 3450.000000, 'rpm': 850.799988, 'set_rpm': 3600.000000},
{'msec': 3460.000000, 'rpm': 866.400024, 'set_rpm': 3600.000000},
{'msec': 3470.000000, 'rpm': 913.200012, 'set_rpm': 3600.000000},
